City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
129,Nikolskoye,59.7035,30.7861,48.09,98,96,7.07,RU,overcast clouds
130,Eyl,7.9803,49.8164,77.2,81,100,13.11,SO,overcast clouds
131,Rio Gallegos,-51.6226,-69.2181,47.84,53,98,10.45,AR,overcast clouds
132,Asandh,29.5167,76.6,72.95,88,0,9.75,IN,clear sky
133,Lavrentiya,65.5833,-171.0,38.7,92,100,31.23,RU,light rain
134,Clyde River,70.4692,-68.5914,25.03,80,100,19.57,CA,light snow
135,Berlevag,70.8578,29.0864,42.75,75,100,9.22,NO,overcast clouds
136,Iskateley,67.6803,53.1512,43.36,98,100,6.42,RU,overcast clouds
137,Yumen,40.2833,97.2,40.87,54,3,3.02,CN,clear sky
138,Necochea,-38.5473,-58.7368,54.3,87,100,7.45,AR,overcast clouds
139,Port Elizabeth,-33.918,25.5701,59.29,86,40,11.5,ZA,scattered clouds
140,Mindelo,16.8901,-24.9804,80.02,82,100,5.97,CV,overcast clouds
141,Hithadhoo,-0.6,73.0833,82.13,74,99,20.24,MV,overcast clouds
142,Slave Lake,55.2834,-114.769,50.54,56,99,7.47,CA,overcast clouds
143,Cockburn Town,21.4612,-71.1419,83.48,75,68,10.85,TC,broken clouds
144,Sao Joao Da Barra,-21.6403,-41.0511,70.93,88,52,9.78,BR,broken clouds
145,Sabzevar,36.2126,57.6819,62.33,21,0,9.08,IR,clear sky
146,Kharan,28.5833,65.4167,69.98,16,0,5.66,PK,clear sky
147,Bhayavadar,21.85,70.25,76.17,78,41,8.48,IN,scattered clouds
148,Souillac,-20.5167,57.5167,70.18,83,40,9.22,MU,scattered clouds
149,Katsuura,35.1333,140.3,59.02,86,100,23.38,JP,overcast clouds
150,Namibe,-15.1961,12.1522,63.14,89,49,4.99,AO,scattered clouds
151,Saint-Pierre,-21.3393,55.4781,67.68,68,0,8.05,RE,clear sky
152,Thompson,55.7435,-97.8558,31.55,57,100,8.52,CA,overcast clouds
153,Padang,-0.9492,100.3543,75.25,88,99,6.8,ID,overcast clouds
154,Talara,-4.5772,-81.2719,65.16,77,0,17.27,PE,clear sky
155,Khartoum,15.5518,32.5324,87.03,54,26,8.68,SD,scattered clouds
156,Leningradskiy,69.3833,178.4167,30.74,87,100,8.28,RU,overcast clouds
157,Vesyegonsk,58.664,37.2604,39.18,97,41,4.27,RU,scattered clouds
158,Belem De Sao Francisco,-8.7539,-38.9658,81.63,48,48,22.3,BR,scattered clouds
159,Hermanus,-34.4187,19.2345,48.79,84,0,12.08,ZA,clear sky
160,Douentza,14.9951,-2.9517,87.84,42,62,7.02,ML,broken clouds
161,Escarcega,18.6089,-90.7454,77.2,70,45,5.14,MX,scattered clouds
162,Waipawa,-41.4122,175.5153,39.74,76,91,21.12,NZ,overcast clouds
163,Sheridan,44.8333,-106.9173,72.01,41,0,3.44,US,clear sky
164,Alassio,44.0039,8.1671,65.16,85,1,4.0,IT,clear sky
165,Laguna,38.421,-121.4238,93.29,33,0,8.05,US,clear sky
166,Upernavik,72.7868,-56.1549,18.75,84,65,4.21,GL,broken clouds
167,Sola,-13.8833,167.55,80.55,76,60,14.14,VU,broken clouds
168,Eureka,40.8021,-124.1637,64.2,78,23,1.99,US,few clouds
169,Maragogi,-9.0122,-35.2225,76.01,89,13,7.94,BR,few clouds
170,Hasaki,35.7333,140.8333,59.4,74,100,23.62,JP,light rain
171,Norman Wells,65.282,-126.8329,44.51,70,91,10.42,CA,overcast clouds
172,Klyuchi,52.2667,79.1667,45.36,83,93,7.81,RU,overcast clouds
173,Coral Springs,26.2712,-80.2706,80.01,71,20,6.91,US,few clouds
174,Bolitoc,15.7395,119.8769,83.21,72,83,2.42,PH,broken clouds
175,Arraial Do Cabo,-22.9661,-42.0278,69.46,85,65,13.31,BR,broken clouds
176,Zhuhai,22.2769,113.5678,83.98,83,20,9.22,CN,few clouds
177,Chuy,-33.6971,-53.4616,58.26,86,95,10.58,UY,overcast clouds
178,Itarema,-2.9248,-39.9167,78.58,84,22,16.62,BR,few clouds
179,Porto Empedocle,37.2934,13.5264,68.9,81,29,1.74,IT,scattered clouds
180,Ambilobe,-13.2,49.05,65.46,79,2,3.18,MG,clear sky
181,Xai-Xai,-25.0519,33.6442,70.81,78,0,7.25,MZ,clear sky
182,Acapulco,16.8634,-99.8901,84.02,65,75,8.05,MX,broken clouds
183,Poum,-20.2333,164.0167,74.97,58,81,8.68,NC,broken clouds
184,Port Lincoln,-34.7333,135.8667,63.27,65,1,7.92,AU,clear sky
185,Manta,-0.95,-80.7333,73.18,78,75,10.36,EC,broken clouds
186,Pisco,-13.7,-76.2167,60.85,77,0,3.44,PE,clear sky
187,Dubbo,-32.25,148.6167,62.73,77,100,9.22,AU,overcast clouds
188,Ambunti,-4.2365,142.8448,81.52,85,97,2.15,PG,overcast clouds
189,Bac Lieu,9.285,105.7244,79.72,87,98,7.23,VN,moderate rain
190,Egvekinot,66.3167,-179.1667,35.2,99,100,13.38,RU,snow
191,Port Hardy,50.6996,-127.4199,64.58,77,40,8.05,CA,scattered clouds
192,Nuuk,64.1835,-51.7216,36.21,87,100,0.0,GL,overcast clouds
193,Sarangani,5.4033,125.4636,83.93,76,91,14.79,PH,overcast clouds
194,Atambua,-9.1061,124.8925,80.06,66,94,3.42,ID,overcast clouds
195,Catumbela,-12.4314,13.5472,72.18,83,97,6.22,AO,overcast clouds
196,Chokurdakh,70.6333,147.9167,19.53,92,94,7.76,RU,overcast clouds
197,Hasanpur,28.7167,78.2833,71.53,95,15,5.82,IN,few clouds
198,Bengkulu,-3.8004,102.2655,74.91,90,100,4.52,ID,overcast clouds
199,Hailar,49.2,119.7,30.54,53,34,7.02,CN,scattered clouds
200,Kungurtug,50.5994,97.5228,29.71,55,100,0.83,RU,overcast clouds
201,Den Helder,52.9599,4.7593,58.98,71,20,26.46,NL,few clouds
202,Kutum,14.2,24.6667,77.59,33,49,5.59,SD,scattered clouds
203,Iqaluit,63.7506,-68.5145,31.73,100,100,8.05,CA,light snow
204,Sayyan,15.1718,44.3244,60.33,35,36,8.66,YE,scattered clouds
205,Faya,18.3851,42.4509,68.52,31,25,5.86,SA,scattered clouds
206,Deputatskiy,69.3,139.9,11.77,91,100,6.8,RU,overcast clouds
207,Berdigestyakh,62.0989,126.6992,28.45,92,100,5.66,RU,light snow
208,Saint George,37.1041,-113.5841,88.43,20,0,4.0,US,clear sky
209,Ilulissat,69.2167,-51.1,24.82,68,20,4.61,GL,few clouds
210,Lisakovsk,52.5369,62.4936,47.3,24,100,8.9,KZ,overcast clouds
211,Leeton,-34.5667,146.4,64.89,90,100,13.44,AU,overcast clouds
212,Yurga,55.7231,84.8861,38.3,85,100,3.74,RU,overcast clouds
213,Mahibadhoo,3.7833,72.9667,80.87,78,100,18.63,MV,overcast clouds
214,La Ronge,55.1001,-105.2842,39.45,48,0,8.05,CA,clear sky
215,Port Macquarie,-31.4333,152.9167,58.32,92,100,3.96,AU,overcast clouds
216,El Campo,29.1966,-96.2697,82.69,39,0,4.61,US,clear sky
217,Adrar,20.5022,-10.0711,91.18,14,3,16.22,MR,clear sky
218,Broome,42.2506,-75.833,55.65,77,17,1.01,US,few clouds
219,Soke,13.598,-5.9386,81.9,58,15,11.59,ML,few clouds
220,Hvolsvollur,63.7533,-20.2243,37.8,86,82,1.21,IS,broken clouds
221,Zhigansk,66.7697,123.3711,23.92,85,100,21.43,RU,overcast clouds
222,The Valley,18.217,-63.0578,82.09,74,38,19.71,AI,scattered clouds
223,Paciran,-6.8767,112.3761,79.41,80,98,9.22,ID,overcast clouds
224,Buala,-8.145,159.5921,85.14,58,92,8.95,SB,overcast clouds
225,Pallasovka,50.05,46.8833,51.85,69,86,7.72,RU,overcast clouds
226,Saskylakh,71.9167,114.0833,10.71,97,89,5.68,RU,overcast clouds
227,Yulara,-25.2406,130.9889,76.95,19,0,3.8,AU,clear sky
228,Henderson,36.0397,-114.9819,94.44,16,0,6.91,US,clear sky
229,Raahe,64.6833,24.4833,50.09,95,100,19.62,FI,light rain
230,San Quintin,30.4833,-115.95,70.59,77,35,9.17,MX,scattered clouds
231,Pangnirtung,66.1451,-65.7125,30.97,94,100,3.56,CA,light snow
232,Husavik,66.0449,-17.3389,36.82,97,100,32.12,IS,overcast clouds
233,Cidreira,-30.1811,-50.2056,63.55,79,78,21.61,BR,broken clouds
234,Santa Maria,-29.6842,-53.8069,62.51,88,100,8.08,BR,heavy intensity rain
235,Goderich,43.7501,-81.7165,60.91,66,65,4.07,CA,broken clouds
236,Hwange,-18.3693,26.5019,74.12,30,0,2.35,ZW,clear sky
237,Hearst,49.6835,-83.6665,52.05,96,99,4.23,CA,overcast clouds
238,Touros,-5.1989,-35.4608,77.34,85,0,12.19,BR,clear sky
239,Martinez,38.0194,-122.1341,93.31,42,0,6.91,US,clear sky
240,Aksarka,66.5606,67.7975,37.0,83,98,10.09,RU,overcast clouds
241,Totness,5.8833,-56.3167,81.0,79,66,12.97,SR,broken clouds
242,Kavieng,-2.5744,150.7967,84.7,70,96,13.73,PG,light rain
243,Shingu,33.7333,135.9833,67.15,68,98,4.79,JP,overcast clouds
244,Aklavik,68.2191,-135.0107,34.7,87,100,16.58,CA,overcast clouds
245,Pimentel,-6.8367,-79.9342,61.43,85,25,16.8,PE,scattered clouds
246,Belaya Gora,68.5333,146.4167,20.61,87,99,13.27,RU,light snow
247,Sitka,57.0531,-135.33,57.09,100,100,10.36,US,mist
248,Faanui,-16.4833,-151.75,78.46,73,26,25.23,PF,scattered clouds
249,Prince Rupert,54.3161,-130.3201,62.69,82,75,12.66,CA,broken clouds
250,Fairbanks,64.8378,-147.7164,46.6,69,20,0.0,US,few clouds
251,Shaunavon,49.6501,-108.4181,57.29,35,99,14.72,CA,overcast clouds
252,Flinders,-34.5833,150.8552,61.38,92,100,5.01,AU,light rain
253,Pacific Grove,36.6177,-121.9166,80.38,86,75,7.0,US,broken clouds
254,Guerrero Negro,27.9769,-114.0611,73.36,68,2,11.34,MX,clear sky
255,Kohtla-Jarve,59.3986,27.2731,52.81,94,100,13.85,EE,overcast clouds
256,Sur,22.5667,59.5289,81.45,57,0,7.43,OM,clear sky
257,Victoria,22.2855,114.1577,84.38,78,54,8.99,HK,broken clouds
258,Port-Gentil,-0.7193,8.7815,77.45,83,59,12.84,GA,broken clouds
259,Ballina,-28.8667,153.5667,66.24,90,100,3.38,AU,overcast clouds
