City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
426,Agadez,NE,83.26,clear sky,19.75,10.25,
431,Ahvaz,IR,78.75,clear sky,31.3203,48.6693,tashrifat tourism travel agency
438,Sakakah,SA,80.17,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
439,Carutapera,BR,79.54,clear sky,-1.195,-46.02,Lidera
442,Daru,PG,81.84,broken clouds,-9.0763,143.2092,Daru Lodge
447,Labuhan,ID,79.54,overcast clouds,-6.8844,112.2051,DoubleFAG
448,Porto Novo,BJ,78.62,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
449,Port Moresby,PG,83.62,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
450,Moengo,SR,77.34,few clouds,5.6167,-54.4,Masanga
451,Neiafu,TO,84.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
452,Morondava,MG,75.4,clear sky,-20.2833,44.2833,La Case Bambou
456,Merauke,ID,83.07,overcast clouds,-8.4667,140.3333,
460,Cayenne,GF,78.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
466,Amahai,ID,82.51,broken clouds,-3.3333,128.9167,HOTEL ISABELA
468,Santa Cruz De La Palma,ES,78.13,few clouds,28.6835,-17.7642,H10 Taburiente Playa
469,Male,MV,81.21,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
472,Caravelas,BR,75.74,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
482,Pitimbu,BR,77.59,clear sky,-7.4706,-34.8086,Reserva do Abiaí
483,Nishihara,JP,81.68,scattered clouds,26.1842,127.7558,Minshuku Agaihama
486,Maumere,ID,83.5,overcast clouds,-8.6199,122.2111,Sylvia Hotel
491,Mogadishu,SO,77.11,broken clouds,2.0371,45.3438,Hotel Juba
496,Pasni,PK,77.65,clear sky,25.2631,63.471,Kashmiri Hotal
501,Noumea,NC,78.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
507,Ranau,MY,75.79,broken clouds,5.9538,116.6641,The Second Room
508,Grand-Santi,GF,81.55,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
511,Mandalay,MM,77.09,scattered clouds,21.9747,96.0836,Hotel Yadanarbon
512,Tera,NE,88.47,overcast clouds,14.0078,0.7531,Hotel Daressalam Téra
513,Port Blair,IN,75.24,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
515,Kavaratti,IN,80.64,broken clouds,10.5669,72.642,Green leaf
518,Porto Murtinho,BR,87.06,scattered clouds,-21.6989,-57.8825,Hotel Pantanal
519,Banjar,ID,79.29,overcast clouds,-8.19,114.9675,The Hamsa Resort
520,Austin,US,86.5,few clouds,30.2672,-97.7431,The Driskill
522,Esna,EG,84.47,scattered clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
523,Celestun,MX,78.96,clear sky,20.8667,-90.4,Posada Lilia
525,Mersing,MY,76.91,scattered clouds,2.4312,103.8405,Timotel Hotel
526,Manga,BF,79.23,broken clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
527,Mumford,GH,75.72,scattered clouds,5.2618,-0.759,Peace Guest House
531,Pemangkat,ID,77.13,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
533,San Jose,US,85.75,few clouds,37.3394,-121.895,The Westin San Jose
539,Omboue,GA,75.36,broken clouds,-1.5746,9.2618,Hotel Olako
540,Boa Vista,BR,80.58,heavy intensity rain,2.8197,-60.6733,Aipana Plaza Hotel
543,Teknaf,BD,77.11,broken clouds,20.8624,92.3058,Forestry Guesthouse
544,Takoradi,GH,75.16,few clouds,4.8845,-1.7554,Raybow International Hotel
545,Kilindoni,TZ,75.56,few clouds,-7.9139,39.6668,Bustani B&B
547,Salinopolis,BR,80.92,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
550,Joao Pinheiro,BR,76.59,light rain,-17.7425,-46.1725,Hotel Santos
552,Springdale,US,77.11,clear sky,36.1867,-94.1288,Springdale Inn
556,Veraval,IN,79.59,broken clouds,20.9,70.3667,Lords Inn Somnath
559,Saint-Louis,SN,85.64,few clouds,16.3333,-15.0,
560,Tautira,PF,76.62,scattered clouds,-17.7333,-149.15,Pension Oaoa
567,Ambon,ID,87.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
568,Thinadhoo,MV,82.29,overcast clouds,0.5333,72.9333,
569,Mancio Lima,BR,81.46,broken clouds,-7.6142,-72.8958,Motel Asas Do Desejo
570,Luwuk,ID,83.07,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
574,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
576,Piacabucu,BR,75.56,clear sky,-10.4056,-36.4344,Piaçabuçu News
580,Moindou,NC,75.15,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
581,Coari,BR,83.71,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
587,Razole,IN,75.18,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
